# Model S adiabatic p-mode frequencies — GENUINE ADIPLS run (reproducible)
#
# Code:   ADIPLS (bundled with MESA 26.04.1), full adiabatic equations (icow=0),
#         variational frequencies (mdintg=5, iriche=0), surface BC istsbc=1.
# Model:  data/model_s/fgong.l5bi.d.15c  (md5 8a076ec1810e9871cdf21f6ecdf72016)
#         -> fgong-amdl.d -> model_s.amdl (2482 mesh points), no redistribution.
# G:      6.67430e-8 cgs  (== repo config/constants.py; MESA standard_cgrav).
# Control file:  data/model_s/adipls_kernels/adipls_ms.in (with nsel=4 for l=0-3).
# Degrees: l = 0, 1, 2, 3;  21 modes per degree;  84 modes total.
# Recipe:  see data/model_s/README.md (repo-facing) or
#          data/model_s/adipls_kernels/RECIPE.md (internal).
#
# VERIFICATION: l=0-2 modes are bit-identical to the committed
# model_s_adipls_freqs_mesa2604.dat (the l=0-2-only table from the same
# ADIPLS version + model + control settings).  The l=3 modes are new.
#
# Columns: l  n  nu_uHz
  0    7    1118.2880
  0    8    1263.6908
  0    9    1407.8177
  0   10    1548.7371
  0   11    1687.0600
  0   12    1822.4865
  0   13    1957.7599
  0   14    2093.8449
  0   15    2229.1963
  0   16    2363.8316
  0   17    2497.7333
  0   18    2631.8036
  0   19    2767.0849
  0   20    2902.6833
  0   21    3038.5021
  0   22    3174.5615
  0   23    3310.6507
  0   24    3447.3760
  0   25    3584.4373
  0   26    3721.7049
  0   27    3859.3342
  1    6    1039.7305
  1    7    1185.8044
  1    8    1329.9015
  1    9    1473.1937
  1   10    1612.9558
  1   11    1749.6259
  1   12    1885.3510
  1   13    2020.9406
  1   14    2157.1497
  1   15    2292.5869
  1   16    2426.7052
  1   17    2560.9829
  1   18    2695.7511
  1   19    2831.3293
  1   20    2967.4205
  1   21    3103.3332
  1   22    3239.6032
  1   23    3376.1757
  1   24    3513.0556
  1   25    3650.4828
  1   26    3787.9486
  2    6    1105.3421
  2    7    1250.9320
  2    8    1394.9190
  2    9    1536.2127
  2   10    1674.9033
  2   11    1810.5162
  2   12    1946.0779
  2   13    2082.3457
  2   14    2218.0794
  2   15    2353.1837
  2   16    2487.3670
  2   17    2621.7518
  2   18    2757.3024
  2   19    2893.1787
  2   20    3029.3565
  2   21    3165.6901
  2   22    3302.0702
  2   23    3439.0785
  2   24    3576.3700
  2   25    3713.9157
  2   26    3851.7778
  3    5    1015.1834
  3    6    1161.8690
  3    7    1306.9976
  3    8    1451.2801
  3    9    1591.7764
  3   10    1729.4561
  3   11    1865.4986
  3   12    2001.3641
  3   13    2138.1303
  3   14    2274.0159
  3   15    2408.7462
  3   16    2543.4559
  3   17    2678.4836
  3   18    2814.5324
  3   19    2951.0299
  3   20    3087.3830
  3   21    3224.1309
  3   22    3361.0496
  3   23    3498.3620
  3   24    3636.1984
  3   25    3774.0419
